ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Reasoning,Remarks,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Satire vs Non-satire,Reviewer,Review
58-1,28/03/2023 06:55:31,https://twitter.com/alterpino/status/1458109191390855168,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran npa rally since:2016-01-01 until:2021-12-31,@alterpino,ccriss,Simple,Identified,06/2020,595,12,,@jeffpfernandez1 Pinaniniwalaan mo ung mga kampon mong NPA KOMUNISTA NA lumalabag sa gobyerno kampon ng dilwan n nag phirap sa pilipinas siguro happy ka s kkarampot n binyad s inio nung pinag rally kyo ng mga aquino nhoe kya utak mo bayaran bobo,"The claim that Robredo is connected with CPP-NPA has no basis

https://www.factrakers.org/post/ntf-elcac-repeats-baseless-claim-on-robredo-npa-connection","Reply to an image containing Leni Robredo support for presidency.

Missing data: 
Location",,"Text, Reply",10/11/2021 00:28,,Emotional,0,1,0,0,,,Non-Satire,,
58-2,28/03/2023 06:55:31,https://twitter.com/PagasaNg/status/1141262519152959488,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran npa rally since:2016-01-01 until:2021-12-31,@PagasaNg,Sarah Elago NPA ng rallylistang bayaran kabataan,,Anonymous,05/2019,1,16,Edsa,@KabataanPL Kabataan PL mga BAYARAN KABATAAN para guluhin Ang bansa at papasok SA NPA. pinaglalaban ang mahihirap na tao.pero kayo KABATAAN PL kumikita Ng mlaking halagang pera sa rally. https://t.co/LmKgVC7Pg7,"The claim that Kabataan Partylist earns a large income in joining rallies has no basis. Rather it is a progressive sectoral political organization that ""holds a seat at the House of Representatives ... representing the youth sector""

https://www.rappler.com/newsbreak/fact-check/makabayan-lawmakers-communist-guerillas-urban-operatives/","First of three replies to a post made by Kabataan Partylist account about its 18th Anniversary

Missing data: 
Account Bio",,"Text, Image, Reply",19/06/2019 15:32,,Rational,1,2,0,0,,,Non-Satire,,
58-3,28/03/2023 06:55:31,https://twitter.com/PagasaNg/status/1141239481804001280,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran npa rally since:2016-01-01 until:2021-12-31,@PagasaNg,Sarah Elago NPA ng rallylistang bayaran kabataan,,Anonymous,05/2019,1,16,Edsa,@AnakbayanCVT @AnakbayanST ANAKBAYAN Sila Yung ssalita SA mga BAYARAN KABATAAN para guluhin Ang bansa at papasok SA NPA. pinaglalaban ninyo mahihirap tao.pero kayo ANAKBAYAN kumikita Ng mlaking halaga srally. Hanggang ngayon pinaglalaban ninyo wlang katapusan Kasi Kung mattaposyung rally wla kayo shod https://t.co/ZgqfAkxtbq,The claim that Anakbayan members are earning a large income in joining rallies has no basis,"Reply to Anakbayan Cavite's post cointaining an invitation to the organization's general assembly

Missing data: 
Account Bio",,"Text, Image, Reply",19/06/2019 14:01,,Rational,0,0,0,0,,,Non-Satire,,
58-4,28/03/2023 07:12:24,https://twitter.com/lim199x/status/1282003597052407812,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@lim199x,Ghost,,Anonymous,11/2018,20,10,Japan,"@Najshhhhh @KBotyog @juLiusbabao Kahit di na data e, dito lang sa twitter dito kayo nagkakalat, dami pang trolls na kakakagawa lang netong 2020. 🙄
 
 Sa fb naman saktuhan lang dami nyo. 😱
 
 In real life? Grabe yung mhhirap na tao ang gngamit para lang magrally at bayaran ng 500. Kahit di na ikaw, matic join kna.",The claim that 500 pesos is given to people who participate in rallies has no basis,"Reply to a series of arguments between three people concerning the ABS-CBN shutdown

Missing data: 
Account Bio",-,"Text, Reply",12/07/2020 00:27,,Emotional,0,1,0,0,,,Non-Satire,,
58-5,28/03/2023 07:12:24,https://twitter.com/888_levi/status/1245913646988849160,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@888_levi,Levi,Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself.,Anonymous,05/2012,1033,104,,@vicegandako PURO KAYO REKLAMO KAHIT D2 DIN NMAN SA MINDANAO DELAYED SINISI BA NAMIN SI DUTERTE HINDI KASI KAMI BAYARAN PARA MAG RALLY NUNG NAG MARTIAL LAW D2 KAYO PA MAY GANA MAGRALLY TATAAS NG RATE NYO JAN MGA POLPOL KAYO! https://t.co/nY9b97VEDz,The claim that people who go to rallies gain higher pay rate has no basis,"
Missing data: 
Location",-,"Text, Image, Reply",03/04/2020 10:18,,Emotional,0,0,0,0,,,Non-Satire,,
58-6,28/03/2023 07:12:24,https://twitter.com/571e256ad364416/status/1149064184052813825,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@571e256ad364416,formaline,,Anonymous,06/2015,74,10,,@choy_kapitan bayaran para magrally😎,The claim that civilians are paid in order to participate in rallies has no basis,Reply to a quote tweet that criticizes the tweet of Teddy Casino regarding vendors who were relocated,-,Text,11/07/2019 04:13,,Emotional,1,0,0,0,,,Non-Satire,,
58-7,28/03/2023 07:12:24,https://twitter.com/lifeinkz/status/1049229675594100739,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@lifeinkz,Showbizph,bibliophile,Anonymous,10/2013,1160,243,ph,"@rekenerer Just because sa UP ka lang nagaaral, respected ka na? Look at yourself, may nagawa ka ba sa bayan o isa kalang sa mga bayaran sa kalye para magrally! Feeling privileged,feeling matalino! Gumawa ka muna ng para sa bayan before you open your big fuckngg mouth!",The claim that UP students are paid in order to participate in rallies in the streets has no basis,,-,Text,08/10/2018 16:27,,Emotional,0,0,0,0,,,Non-Satire,,
58-8,28/03/2023 07:12:24,https://twitter.com/ipnieves07/status/1042371194924654595,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@ipnieves07,Ian Paul Nieves,I always the truth even when I lie. ðŸ”¥,Identified,08/2012,637,57,"Calamba City,Laguna",Maraming kapalpakan ang Administrasyong Du30 pero di ako tanga para sumama sa mga bobong bayaran para magrally at pabagsakin ang Administrasyong ito.,The claim that critics of the Duterte administration who join rallies are paid has no basis,,-,Text,19/09/2018 18:13,,Emotional,0,0,0,0,,,Non-Satire,,
58-9,28/03/2023 07:12:24,https://twitter.com/binong070879/status/995464144777240576,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@binong070879,Papabes,,Anonymous,06/2009,117,8,,"@robertkaaatz Isa ka ba sa nga bayaran para magrally tulad ng mga to.
 https://t.co/CkpnkizArn",The claim that civilians are paid in order to participate in rallies has no basis,"Missing data:
Account Bio
Location

Link leads to ""Content not found"" page",-,"Text, Link",13/05/2018 07:42,,Emotional,0,0,0,0,,,Non-Satire,,
58-10,28/03/2023 07:12:24,https://twitter.com/nikkoarnedang/status/959210396300271616,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@nikkoarnedang,icko,Do whatâ€™s right at the right time!,Identified,05/2010,381,83,Pinagbuhatan Pasig,"Wtf ano ba pinaglalaban nyo?
 
 Magkano ang binabayad sa inyong katangahan para magrally? Mga bayaran at puro... https://t.co/y1WNe2YFar",The claim that civilians are paid in order to participate in rallies has no basis,Link leads to a shared Facebook post commenting on a news report about student activists posted by Bandila,-,"Text, Link",02/02/2018 07:42,,Emotional,0,0,0,0,,,Non-Satire,,
58-11,28/03/2023 07:12:25,https://twitter.com/yyassssammaqq/status/930429491217711104,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@yyassssammaqq,ապրել,In the middle of the SEA,Anonymous,02/2014,172,1176,,Dapat pinipinturahan mga mukha at sinasabuyan ng pakain sa baboy ang mga yan e. Mga perwisyo. Mga bayaran lang. Kung wala silang trabaho saan sila kumuha ng pamasahe at pondo para magrally? In short mga perwisyong bayaran lang! 🙄🙄🙄 https://t.co/BVjf5nbfyt,The claim that activists from militant and civic groups are paid in order to participate in rallies has no basis,"Missing data:
Location",-,"Text, Video, Reply",14/11/2017 21:37,,Emotional,1,0,0,1,,,Non-Satire,,
58-12,28/03/2023 07:12:25,https://twitter.com/yaroiuqator/status/882184964720209920,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@yaroiuqator,Ray A. Rotaquio,Site Engineer Motexo Technical Services,Identified,03/2013,91,125,"Dubai, UAE","@zenszei @igignoramus Tanong lang sa inyo. Sa tingin nyo proud ang magulang, asawa at anak nya s pagiging bayaran para magrally? Anong klasing tao to? Tao b to?",The claim that civilians are paid in order to participate in rallies has no basis,The original tweet that the reply was directed is unavailable,-,"Text, Reply",04/07/2017 17:31,,Emotional,1,0,0,0,,,Non-Satire,,
58-13,28/03/2023 07:12:25,https://twitter.com/lynredw/status/879474660546560000,58,"Luzada, Jarred",REDT,Red-tagging of activists during the Duterte Administration,bayaran para magrally since:2016-01-01 until:2021-12-31,@lynredw,marilyn redwood,,Anonymous,01/2013,19,2,Republic of the Philippines,DI KAYO NAKATULONG AT DOON LANG KAYO SA LUZON.MGA BAYARAN KAYO PARA MAGRALLY.UNAHIN NYO ANG PAMILYA NYO HA?DI PAGRARALY ANG INAATUPAG! https://t.co/tPGKQvvblb,The claim that civilians are paid in order to participate in rallies has no basis,"User quote-tweeted themselves to three levels, leading to their own tweet about ""corpses in Marawi including Omar Maute"" and a link to an unavailable YouTube video. Another quote tweet made by the same user called out specifically ""Edcel Lagman"", a human rights lawyer.

Missing data:
Location",-,"Text, Reply",27/06/2017 06:01,,Emotional,0,0,0,0,,,Non-Satire,,
