Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views
2023-03-18 01:40:55.290379,https://twitter.com/danybeom/status/1636485194697027584,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@danybeom,💚Ɛցցβҽօʍìҽ 🫶 ɱεɱεʝʝαɳɠҡყµɳ💜,"~Living in my EggBeoM Era
~Waiting for the next Meme Jjangkyun sighting",False,2021-08-15 14:59:29+00:00,123,69,,"@arryiae @nunucheekies Ako makita ko lang dumaan sa hallway masya na ako hahaha.

Basta wag sya sa chk or tipong malayong ibayo ang college, aabangan ko yan dumaan hahhahaha..

Si Nunu, sasama ako kapag ngtawag ng rally yan hahahahahahahaha",,text,2023-03-16 21:50:49+00:00,,,12825,1,0,0,13.0
2023-03-18 01:40:55.290379,https://twitter.com/NationalDailyNG/status/1636476387870613505,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@NationalDailyNG,National Daily NG,A news organization committed to building a new culture of change and development in Nigeria and beyond!,False,2010-02-21 10:21:37+00:00,475,4048,Nigeria,Edo support programme beneficiaries rally support for Obaseki https://t.co/FkqFSyHm3T,,text,2023-03-16 21:15:49+00:00,,,1740,0,0,0,25.0
2023-03-18 01:40:55.290379,https://twitter.com/JohnAndrewMer10/status/1636436733008158720,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@JohnAndrewMer10,jhnndrw,🇵🇭,False,2021-04-30 10:01:02+00:00,45,26,"Rosario, Calabarzon",ang liit talaga ng mundo akalain mo yon yung nakasabay namin sa bus nung rally ni leni na crush ko magkausap na kami ngayon mwehehehehe,,text,2023-03-16 18:38:15+00:00,,,262,0,0,0,8.0
2023-03-18 01:40:55.290379,https://twitter.com/mstraveler/status/1636421266147250176,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@mstraveler,mstraveler is Kakampink with Common Sense!,Educator. Professional Editor. Dreamer. Traveler. Ponderer. Cat-rescuer. Believer of goodness in every soul. Filipino at heart!,False,2008-03-23 06:13:43+00:00,983,686,"Nizwa, Oman",@fly1ngstar @karenvaughn_ Really?  Bakit May bayad ang sumasama sa mga rally ni Bobong nung kampanya. At bakit ayaw ilabas ng COMELEC and transmission log after sinabihan ng SC???,,text,2023-03-16 17:36:47+00:00,,,9005,0,0,0,19.0
2023-03-18 01:40:55.290379,https://twitter.com/NgCrawler/status/1636408265029349376,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@NgCrawler,Crawler NG,Crawler NG is a Nigerian content aggregator.,False,2021-01-11 15:47:50+00:00,10,18,Nigeria,"Makinde, Accord Senatorial Candidate, Peller, Others Hold Rally in Iseyin https://t.co/KmLL2hcwea",,text,2023-03-16 16:45:08+00:00,,,0,0,0,0,1.0
2023-03-18 01:40:55.290379,https://twitter.com/lorieflor5/status/1636405469492424706,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@lorieflor5,lor,🌦🤍,False,2022-09-28 13:01:55+00:00,34,10,,"Anlaking tulong talaga nung sumama ako ng rally, sobrang dami kong nakilalang pwedeng maging kaibigan. Before kasi natatakot na akong mag karoon ulit ng kaibigan (madagdagan ng kaibigan) hindi pala ganun. As long as nakakabuti sya sa mental health and hindi ka sinisira",,text,2023-03-16 16:34:01+00:00,,,10,1,0,0,19.0
2023-03-18 01:40:55.290379,https://twitter.com/kyuwan1007/status/1636396773966217216,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@kyuwan1007,IZ⚘️💙🏸,"OT’15 #ELF 💙
tweet and retweet randomly✋mixing tweet 😊friendly 😀 badminton updated 😀 tweet in Malay and Eng 

 #SJ #Badminton",False,2018-02-02 15:05:53+00:00,526,124,,"Not top seeded in ranking, but here Malaysia present to you our MS Ng Tze Yong who managed to beat and win against World no 1 ranking Victor Axelsen at R16 🥺

The eagerness to win despite of long rally, small injured he's ain't not giving up till end 😭
#AllEngland2023 https://t.co/XToCDg5wbZ",,text,2023-03-16 15:59:28+00:00,,,24612,0,9,0,2489.0
2023-03-18 01:40:55.290379,https://twitter.com/ArtaDeden/status/1636396328292065282,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@ArtaDeden,Deden Arta,There's no remedy for memory,False,2012-07-31 13:15:28+00:00,394,127,"Torino, Piemonte","Salut buat Ng Tze Yong, hampir pingsan tdi kena rally panjang tpi terbayarkan dgn kemenangan 🤝",,text,2023-03-16 15:57:42+00:00,,,1775,0,0,0,182.0
2023-03-18 01:40:55.290379,https://twitter.com/lutton_tracey/status/1636395554380087299,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@lutton_tracey,Tracey L,"remember people there are only 4 things that make America great 
1- forestry
2- fishing
3-mineing
4- farming
without these commodities we have nothing.",False,2021-07-24 15:11:23+00:00,245,155,,"@DalglishTana @Harlembabe4 @realTuckFrumper Blm held a rally in DC dumpling, the NG is protecting the Lincoln memorial. Where were they j6? The sgt at arms knew that a 100,000 people were coming to DC 
Why wasn't Nancy subpoenaed because the sgt at arms reports directly to her office. Because it's a bogus sham witch hunt https://t.co/QRXIaJh7Fq",,text,2023-03-16 15:54:37+00:00,,,7156,0,0,0,4.0
2023-03-18 01:40:55.290379,https://twitter.com/baixueshans/status/1636395378546479109,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@baixueshans,shan☔,"少年人，要有自己的江湖✨

流木 || cdramas/ent, books, sports, also variety & music shows♪☆ 🏸⚽🏎

cw: #roadhome #theknockout",False,2016-09-03 11:38:22+00:00,345,579,🕊,"i believe the whole birmingham arena held their breath on the rally for 20-19 😭😭😭 this match, what a match. viggo and ng tze yong really gave their all and put so much focus on the last few points

#AllEnglandOpen2023 #allengland2023",,text,2023-03-16 15:53:55+00:00,,,57056,1,1,0,748.0
2023-03-18 01:40:55.290379,https://twitter.com/vinayakkm/status/1636394562141782016,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@vinayakkm,Vinayakk,Sports Editor @scroll_in @thefield_in. Engineer in a previous lifetime. Watcher of sports. Flawed man. NIT-T →Texas A&M → ACJ. Anbe Sivam.,False,2010-11-09 05:36:18+00:00,1301,10122,Trichy,"#AllEngland2023 

UNBELIEVABLE. What a rally, 53 shots and Axelsen has a match point! He was 15-19 down. WOW.

And now it is 20-20. Ng Tze Yong doing everything he can to hang in there.",,text,2023-03-16 15:50:41+00:00,,,13702,0,3,0,1283.0
2023-03-18 01:40:55.290379,https://twitter.com/aniafasya/status/1636394164651982848,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@aniafasya,Ania Fasya,owner of BoroBoroPotatoes| 🍉 | 🏸,False,2012-10-31 11:04:19+00:00,423,211,jakarta,Rally panjang dan Ng Tze Yong malah nyangkut 😮‍💨,,text,2023-03-16 15:49:06+00:00,,,2895,1,0,0,153.0
2023-03-18 01:40:55.291354,https://twitter.com/raineefaall/status/1636393996162600962,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@raineefaall,luna,multi stan acc 👀,False,2021-02-18 11:08:21+00:00,213,90,she/her,ganda lagi long rally ng pldt and cmft,,text,2023-03-16 15:48:26+00:00,,,15621,0,0,0,129.0
2023-03-18 01:40:55.291354,https://twitter.com/DiveBomb321/status/1636386755661434885,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@DiveBomb321,DiveBombTrading,"Swing and Day Trading, Equities and Energy Commodities, Focus on NatGas, Technical Analysis, Research, EE",False,2023-02-12 01:15:31+00:00,83,83,,#natgas Natural gas futures continue to correlate well with equities. NG appeared to follow the rally this morning. $BOIL $KOLD $UNG https://t.co/6hEsjp8uLn,,text,2023-03-16 15:19:39+00:00,,,327,1,0,0,337.0
2023-03-18 01:40:55.291354,https://twitter.com/AmeNitcha/status/1636378499807318017,00,John Wick,REDT,Redtagging of rallyists,rally ng rally since:2016-01-01 until:2023-03-17,@AmeNitcha,Ame😶‍🌫️,Me in my fangirling mode. 💃🏽👑,False,2021-06-04 07:39:07+00:00,218,182,,"Dia punya excited nak tengok Tze Yong lawan Viktor tu mcm tunggu final😂 Excited sebab nak tgok how viktor react to this rally man.

Goodluck Ng Tze Yong, Malaysians mushroom 🍄 #AllEngland2023",,text,2023-03-16 14:46:51+00:00,,,9414,0,0,0,333.0
